========================================================================================================================
单元格逐一比对：原模板 vs 预览页面
========================================================================================================================

格式说明：
  单元格坐标 | 原模板内容 | 预览内容 | 是否一致
(9, 4)       | (空)                                      | (空)                                      | ✅
(9, 5)       | (空)                                      | (被合并)                                    | ❌
(9, 6)       |                                       年   月  日 |                                       年   月  日 | ✅
(10, 1)      | 专业技术人员                                   | 专业技术人员                                   | ✅
(10, 2)      | (空)                                      | (被合并)                                    | ❌
(10, 3)      | (空)                                      | (被合并)                                    | ❌
(10, 4)      | (空)                                      | (被合并)                                    | ❌
(10, 5)      | 教育局意见                                    | 教育局意见                                    | ✅
(10, 6)      | (空)                                      | (空)                                      | ✅
(11, 1)      | 1、正高级                                    | 1、正高级                                    | ✅
(11, 2)      | (空)                                      | (空)                                      | ✅
(11, 3)      | (空)                                      | (空)                                      | ✅
(11, 4)      | (空)                                      | (空)                                      | ✅
(11, 5)      | (空)                                      | (被合并)                                    | ❌
(11, 6)      | (空)                                      | (空)                                      | ✅
(12, 1)      | 2、高级教师                                   | 2、高级教师                                   | ✅
(12, 2)      | (空)                                      | (空)                                      | ✅
(12, 3)      | (空)                                      | (空)                                      | ✅
(12, 4)      | (空)                                      | (空)                                      | ✅
(12, 5)      | (空)                                      | (被合并)                                    | ❌
(12, 6)      | (空)                                      | (空)                                      | ✅
(13, 1)      | 3、一级教师                                   | 3、一级教师                                   | ✅
(13, 2)      | (空)                                      | (空)                                      | ✅
(13, 3)      | (空)                                      | (空)                                      | ✅
(13, 4)      | (空)                                      | (空)                                      | ✅
(13, 5)      | (空)                                      | (被合并)                                    | ❌
(13, 6)      | （盖章）                                     | （盖章）                                     | ✅
(14, 1)      | 4、二级教师                                   | 4、二级教师                                   | ✅
(14, 2)      | (空)                                      | (空)                                      | ✅
(14, 3)      | (空)                                      | (空)                                      | ✅
(14, 4)      | (空)                                      | (空)                                      | ✅
(14, 5)      | (空)                                      | (被合并)                                    | ❌
(14, 6)      | (空)                                      | (空)                                      | ✅
(15, 1)      | 5、三级教师                                   | 5、三级教师                                   | ✅
(15, 2)      | (空)                                      | (空)                                      | ✅
(15, 3)      | (空)                                      | (空)                                      | ✅
(15, 4)      | (空)                                      | (空)                                      | ✅
(15, 5)      | (空)                                      | (被合并)                                    | ❌
(15, 6)      | (空)                                      | (空)                                      | ✅
(16, 1)      | 工人                                       | 工人                                       | ✅
(16, 2)      | (空)                                      | (被合并)                                    | ❌
(16, 3)      | (空)                                      | (被合并)                                    | ❌
(16, 4)      | (空)                                      | (被合并)                                    | ❌
(16, 5)      | (空)                                      | (被合并)                                    | ❌
(16, 6)      | (空)                                      | (空)                                      | ✅
(17, 1)      | 1、高级技师                                   | 1、高级技师                                   | ✅
(17, 2)      | (空)                                      | (空)                                      | ✅
(17, 3)      | (空)                                      | (空)                                      | ✅
(17, 4)      | (空)                                      | (空)                                      | ✅
(17, 5)      | (空)                                      | (被合并)                                    | ❌
(17, 6)      | (空)                                      | (空)                                      | ✅
(18, 1)      | 2、技师                                     | 2、技师                                     | ✅
(18, 2)      | (空)                                      | (空)                                      | ✅
(18, 3)      | (空)                                      | (空)                                      | ✅
(18, 4)      | (空)                                      | (空)                                      | ✅
(18, 5)      | (空)                                      | (被合并)                                    | ❌
(18, 6)      |                                       年   月  日 |                                       年   月  日 | ✅
(19, 1)      | 3、高级工                                    | 3、高级工                                    | ✅
(19, 2)      | (空)                                      | (空)                                      | ✅
(19, 3)      | (空)                                      | (空)                                      | ✅
(19, 4)      | (空)                                      | (空)                                      | ✅
(19, 5)      | 人事部门意见                                   | 人事部门意见                                   | ✅
(19, 6)      | (空)                                      | (空)                                      | ✅
(20, 1)      | 4、中级工                                    | 4、中级工                                    | ✅
(20, 2)      | (空)                                      | (空)                                      | ✅
(20, 3)      | (空)                                      | (空)                                      | ✅
(20, 4)      | (空)                                      | (空)                                      | ✅
(20, 5)      | (空)                                      | (被合并)                                    | ❌
(20, 6)      |     根据相关文件及有关规定，经审核，同意你单位：               |     根据相关文件及有关规定，经审核，同意你单位：               | ✅
(21, 1)      | 5、初级工                                    | 5、初级工                                    | ✅
(21, 2)      | (空)                                      | (空)                                      | ✅
(21, 3)      | (空)                                      | (空)                                      | ✅
(21, 4)      | (空)                                      | (空)                                      | ✅
(21, 5)      | (空)                                      | (被合并)                                    | ❌
(21, 6)      | 基础性绩效工资XXX人，XXX元；                        | 基础性绩效工资XXX人，XXX元；                        | ✅
(22, 1)      | 6、普工                                     | 6、普工                                     | ✅
(22, 2)      | (空)                                      | (空)                                      | ✅
(22, 3)      | (空)                                      | (空)                                      | ✅
(22, 4)      | (空)                                      | (空)                                      | ✅
(22, 5)      | (空)                                      | (被合并)                                    | ❌
(22, 6)      | 生活补贴XXX人，XXX元；                           | 生活补贴XXX人，XXX元；                           | ✅
(23, 1)      | 绩效工资合计                                   | 绩效工资合计                                   | ✅
(23, 2)      | (空)                                      | (空)                                      | ✅
(23, 3)      | (空)                                      | (空)                                      | ✅
(23, 4)      | (空)                                      | (空)                                      | ✅
(23, 5)      | (空)                                      | (被合并)                                    | ❌
(23, 6)      | 合计XXX元；                                  | 合计XXX元；                                  | ✅
(24, 1)      | 乡镇补贴合计                                   | 乡镇补贴合计                                   | ✅
(24, 2)      | (空)                                      | (空)                                      | ✅
(24, 3)      | (空)                                      | (空)                                      | ✅
(24, 4)      | (空)                                      | (空)                                      | ✅
(24, 5)      | (空)                                      | (被合并)                                    | ❌
(24, 6)      | 岗位设置遗留XXX人，XXX元；                         | 岗位设置遗留XXX人，XXX元；                         | ✅
(25, 1)      | 岗位设置
遗留问题                                | 岗位设置
遗留问题                                | ✅
(25, 2)      | (空)                                      | (空)                                      | ✅
(25, 3)      | (空)                                      | (空)                                      | ✅
(25, 4)      | (空)                                      | (空)                                      | ✅
(25, 5)      | (空)                                      | (被合并)                                    | ❌
(25, 6)      | 总计XXX元。                                  | 总计XXX元。                                  | ✅
(26, 1)      | 岗位设置
遗留问题                                | 岗位设置
遗留问题                                | ✅
(26, 2)      | (空)                                      | (空)                                      | ✅
(26, 3)      | (空)                                      | (空)                                      | ✅
(26, 4)      | (空)                                      | (空)                                      | ✅
(26, 5)      | (空)                                      | (被合并)                                    | ❌
(26, 6)      | 无乡镇补贴XX人，XXX。                            | 无乡镇补贴XX人，XXX。                            | ✅
(27, 1)      | 岗位设置遗留问题合计                               | 岗位设置遗留问题合计                               | ✅
(27, 2)      | (空)                                      | (空)                                      | ✅
(27, 3)      | (空)                                      | (空)                                      | ✅
(27, 4)      | (空)                                      | (空)                                      | ✅
(27, 5)      | (空)                                      | (被合并)                                    | ❌
(27, 6)      | (空)                                      | (空)                                      | ✅
(28, 1)      | 退休干部                                     | 退休干部                                     | ✅
(28, 2)      | (空)                                      | (空)                                      | ✅
(28, 3)      | (空)                                      | (空)                                      | ✅
(28, 4)      | (空)                                      | (空)                                      | ✅
(28, 5)      | (空)                                      | (被合并)                                    | ❌
(28, 6)      | (空)                                      | (空)                                      | ✅
(29, 1)      | 退休工人                                     | 退休工人                                     | ✅
(29, 2)      | (空)                                      | (空)                                      | ✅
(29, 3)      | (空)                                      | (空)                                      | ✅
(29, 4)      | (空)                                      | (空)                                      | ✅
(29, 5)      | (空)                                      | (被合并)                                    | ❌
(29, 6)      | (空)                                      | (空)                                      | ✅
(30, 1)      | 离休干部                                     | 离休干部                                     | ✅
(30, 2)      | (空)                                      | (空)                                      | ✅
(30, 3)      | (空)                                      | (空)                                      | ✅
(30, 4)      | (空)                                      | (空)                                      | ✅
(30, 5)      | (空)                                      | (被合并)                                    | ❌
(30, 6)      |                                       年   月  日 |                                       年   月  日 | ✅
(31, 1)      | 
备注：
                                    | 
备注：
                                    | ✅
(31, 2)      | (空)                                      | (被合并)                                    | ❌
(31, 3)      | (空)                                      | (被合并)                                    | ❌
(31, 4)      | (空)                                      | (被合并)                                    | ❌
(31, 5)      | (空)                                      | (被合并)                                    | ❌
(31, 6)      | (空)                                      | (被合并)                                    | ❌

========================================================================================================================
比对完成
